
  ///////////////////////////////////////////////////////////////////////////
  | 公司名称:                                                               |
  |                                                                         |
  |                           SATWE 位移输出文件                            |
  |                          SATWE2010_V5.1.3 中文版                        |
  |                         (2020年5月18日18时13分)                         |
  |                            文件名: WDISP.OUT                            |
  |                                                                         |
  |工程名称 :                     设计人 :              计算日期:2020/10/19 |
  |工程代号 :                     校核人 :              计算时间:11:03:27   |
  ///////////////////////////////////////////////////////////////////////////


  所有位移的单位为毫米

  Floor   : 层号
  Tower   : 塔号
  Jmax    : 最大位移对应的节点号
  JmaxD   : 最大层间位移对应的节点号
  Max-(Z) : 节点的最大竖向位移
  h       : 层高
  Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
  Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
  Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
  Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
  Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
  Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
  Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
  DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
  Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
  X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移


  === 工况  1 === X 方向地震作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(X)     Ave-(X)       h
                  5000       1.02        0.89       1/2853.     1.6%       0.87
   14      1      4665      11.05        9.63         2900.
                  4665       1.03        0.91       1/2809.     0.8%       0.87
   13      1      4335      10.09        8.78         2900.
                  4335       1.04        0.91       1/2781.     0.3%       0.85
   12      1      4000       9.11        7.91         2900.
                  4000       1.05        0.92       1/2771.     0.6%       0.84
   11      1      3670       8.11        7.04         2900.
                  3670       1.04        0.91       1/2780.     1.3%       0.83
   10      1      3335       7.11        6.16         2900.
                  3335       1.03        0.90       1/2816.     2.3%       0.82
    9      1      3005       6.12        5.29         2900.
                  3005       1.01        0.88       1/2872.     3.3%       0.81
    8      1      2670       5.13        4.43         2900.
                  2670       0.98        0.85       1/2966.     5.2%       0.79
    7      1      2340       4.18        3.60         2900.
                  2340       0.93        0.81       1/3113.     7.1%       0.77
    6      1      2005       3.26        2.80         2900.
                  2005       0.87        0.75       1/3343.    10.9%       0.74
    5      1      1675       2.40        2.06         2900.
                  1675       0.78        0.67       1/3729.    17.2%       0.69
    4      1      1340       1.62        1.39         2900.
                  1340       0.64        0.55       1/4504.    25.3%       0.64
    3      1      1025       0.98        0.84         3000.
                  1025       0.50        0.43       1/6033.    30.2%       0.57
    2      1       713       0.48        0.42         3000.
                   713       0.35        0.30       1/8616.    61.2%       0.54
    1      1       414       0.14        0.12         3100.
                   414       0.14        0.12       1/9999.    99.9%       0.30
 
   Y方向最大层间位移角:               1/2771.(第 12层第 1塔)

  === 工况  9 === X 方向风荷载作用下的楼层最大位移(强刚模型)

  Floor  Tower    Jmax     Max-(X)     Ave-(X)    Ratio-(X)       h
                  JmaxD    Max-Dx      Ave-Dx     Ratio-Dx    Max-Dx/h    DxR/Dx    Ratio_AX
   21      1      6863      45.17       39.62       1.14         3300.
                  6863       1.83        1.38       1.33       1/1800.     3.0%       1.00
   20      1      6564      43.34       38.23       1.13         2900.
                  6564       1.70        1.27       1.34       1/1703.    10.4%       0.79
   19      1      6234      41.64       36.93       1.13         2900.
                  6234       1.82        1.40       1.30       1/1594.     9.8%       0.93
   18      1      5899      39.82       35.50       1.12         2900.
                  5899       1.94        1.54       1.26       1/1494.     8.6%       0.99
   17      1      5569      37.88       33.94       1.12         2900.
                  5569       2.07        1.68       1.24       1/1398.     8.8%       0.99
   16      1      5234      35.80       32.24       1.11         2900.
                  5234       2.21        1.82       1.21       1/1315.     7.1%       0.99
   15      1      4904      33.60       30.41       1.10         2900.
                  4904       2.33        1.95       1.19       1/1242.     6.9%       0.97
   14      1      4569      31.26       28.43       1.10         2900.
                  4569       2.45        2.09       1.17       1/1184.     5.3%       0.96
   13      1      4239      28.81       26.33       1.09         2900.
                  4239       2.56        2.20       1.16       1/1135.     4.9%       0.94
   12      1      3904      26.26       24.12       1.09         2900.
                  3904       2.64        2.30       1.15       1/1099.     3.3%       0.92
   11      1      3574      23.62       21.80       1.08         2900.
                  3574       2.70        2.38       1.13       1/1073.     2.4%       0.90
   10      1      3239      20.92       19.41       1.08         2900.
                  3239       2.73        2.43       1.12       1/1062.     1.0%       0.89
    9      1      2909      18.19       16.96       1.07         2900.
                  2909       2.73        2.46       1.11       1/1061.     0.1%       0.86
    8      1      2574      15.45       14.49       1.07         2900.
                  2574       2.70        2.46       1.10       1/1074.     2.1%       0.85
    7      1      2244      12.75       12.02       1.06         2900.
                  2244       2.62        2.41       1.09       1/1107.     3.7%       0.82
    6      1      1909      10.13        9.61       1.05         2900.
                  1909       2.49        2.31       1.07       1/1166.     6.9%       0.79
