     **********************************************************
                                     位移输出文件
     **********************************************************

     采用强制刚性楼板假定模型计算结果
     单位    : mm

     Floor   : 层号
     Tower   : 塔号
     Jmax    : 最大位移对应的节点号
     JmaxD   : 最大层间位移对应的节点号
     Max-(Z) : Z方向的节点最大位移
     h       : 层高
     Max-(X)，Max-(Y)   : X,Y方向的节点最大位移
     Ave-(X)，Ave-(Y)   : X,Y方向的层平均位移
     Max-Dx ，Max-Dy    : X,Y方向的最大层间位移
     Ave-Dx ，Ave-Dy    : X,Y方向的平均层间位移
     Ratio-(X),Ratio-(Y): 最大位移与层平均位移的比值
     Ratio-Dx,Ratio-Dy  : 最大层间位移与平均层间位移的比值
     Max-Dx/h，Max-Dy/h : X,Y方向的最大层间位移角
     DxR/Dx,DyR/Dy      : X,Y方向的有害位移角占总位移角的百分比例
     Ratio_AX,Ratio_AY  : 本层位移角与上层位移角的1.3倍及上三层平均位移角的1.2倍的比值的大者
     X-Disp，Y-Disp，Z-Disp:节点X,Y,Z方向的位移

  === 工况19 === X 方向地震作用下的楼层最大位移

  Floor  Tower    Jmax     Max-(X)   Ave-(X)        h
                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

                  JmaxD    Max-Dx    Ave-Dx     Max-Dx/h    DxR/Dx    Ratio_AX

   54     1    54000011    172.60   170.04         4000
               54000010      2.68     2.68       1/1493     21.80%    1.00
   53     1    53000073    178.68   166.42         4500
               53000067      6.98     3.66       1/ 645     15.14%    0.94
   52     1    52000064    174.20   162.01         4500
               52000062      3.21     3.11       1/1401      0.36%    0.78
   51     1    51000057    171.19   159.06         4500
               51000067      3.27     3.13       1/1377      3.53%    0.80
   50     1    50000059    168.11   156.09         4500
               50000069      3.40     3.24       1/1323      3.74%    0.82
   49     1    49000059    164.93   153.04         4500
               49000059      3.54     3.36       1/1270      3.51%    0.89
   48     1    48000049    161.61   149.88         4500
               48000049      3.68     3.47       1/1224      2.70%    0.89
   47     1    47000059    158.16   146.61         4500
               47000069      3.79     3.57       1/1188      2.39%    0.89
   46     1    46000056    154.60   143.25         4500
               46000049      3.88     3.65       1/1161      1.04%    0.88
   45     1    45000061    150.95   139.81         5100
               45000061      4.41     4.19       1/1156      0.50%    0.86
   44     1    44000063    146.77   135.85         4500
               44000073      3.93     3.73       1/1145      1.08%    0.85
   43     1    43000052    143.03   132.31         4500
               43000052      3.96     3.75       1/1135      1.88%    0.85
   42     1    42000063    139.26   128.74         4500
               42000056      4.05     3.82       1/1110      1.00%    0.86
   41     1    41000052    135.40   125.10         4500
               41000059      4.10     3.86       1/1098      1.33%    0.86
   40     1    40000062    131.50   121.42         4500
               40000072      4.16     3.91       1/1082      1.30%    0.86
   39     1    39000055    127.53   117.68         4500
               39000055      4.22     3.96       1/1067      0.68%    0.85
   38     1    38000062    123.49   113.88         4500
               38000062      4.26     3.99       1/1057      0.40%    0.85
   37     1    37000055    119.41   110.06         4500
               37000055      4.28     4.00       1/1052      0.98%    0.84
   36     1    36000061    115.30   106.21         5100
               36000071      4.89     4.57       1/1043      0.04%    0.85
   35     1    35000072    110.59   101.80         4500
               35000072      4.34     4.06       1/1038      0.83%    0.84
   34     1    34000133    106.41    97.89         4500
               34000133      4.36     4.08       1/1031      0.09%    0.84
   33     1    33000061    102.19    93.95         4500
               33000071      4.37     4.08       1/1029      0.42%    0.84
   32     1    32000020     97.96    90.01         4500
               32000139      4.36     4.06       1/1033      0.86%    0.83
   31     1    31000061     93.74    86.07         4500
               31000061      4.32     4.03       1/1041      1.59%    0.82
   30     1    30000139     89.54    82.16         4500
               30000139      4.25     3.96       1/1058      2.91%    0.81
   29     1    29000062     85.41    78.31         4500
               29000072      4.12     3.85       1/1091      0.93%    0.80
   28     1    28000014     81.39    74.57         4500
               28000014      4.09     3.81       1/1101      0.85%    0.81
   27     1    27000072     77.40    70.85         4500
               27000072      4.06     3.78       1/1109      0.79%    0.81
   26     1    26000014     73.44    67.16         4500
               26000014      4.03     3.75       1/1118      0.85%    0.82
   25     1    25000062     69.50    63.50         4500
               25000062      3.99     3.72       1/1127      0.95%    0.82
   24     1    24000125     65.59    59.86         4500
               24000014      3.95     3.68       1/1139      0.10%    0.82
   23     1    23000064     61.72    56.26         5100
               23000074      4.45     4.17       1/1145      2.07%    0.83
   22     1    22000073     57.35    52.16         4500
               22000073      3.85     3.61       1/1168      1.24%    0.81
   21     1    21000062     53.56    48.62         4500
               21000072      3.82     3.57       1/1179      1.51%    0.81
   20     1    20000132     49.80    45.12         4500
               20000132      3.76     3.51       1/1196      1.91%    0.81
   19     1    19000072     46.10    41.67         4500
               19000062      3.70     3.45       1/1216      2.73%    0.81
