   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
      9        1        118.24         25.63        330.93
      8        1        106.26         21.97        279.98
      7        1         89.07         18.37        227.33
      6        1         70.84         14.05        166.26
      5        1         50.27         10.06        109.22
      4        1         55.66         12.97        119.53
      3        1         26.22          9.06        -47.78
      2        1         10.25          3.72        -19.71
      1        1          4.35          1.60         -8.69

   振型  11 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1          1.71          3.46         -3.06
     53        1          1.62          3.31         -4.08
     52        1          0.30          3.41        -31.14
     51        1          0.25          2.64        -52.63
     50        1          0.53          4.02        -76.70
     49        1         -0.27          1.78        -54.22
     48        1         -0.68          0.25        -34.43
     47        1         -1.01         -1.33        -14.77
     46        1         -1.25         -2.72          4.53
     45        1         -1.32         -3.79         22.61
     44        1         -1.36         -4.83         38.61
     43        1         -1.18         -5.24         52.15
     42        1         -1.04         -5.74         62.12
     41        1         -0.70         -5.45         68.73
     40        1         -0.45         -5.34         70.95
     39        1         -0.05         -4.46         69.56
     38        1          0.22         -3.79         63.87
     37        1          0.54         -2.54         55.08
     36        1          0.74         -1.59         45.84
     35        1          0.96         -0.25         31.71
     34        1          1.06          0.95         15.57
     33        1          1.09          2.12         -0.82
     32        1          1.06          3.21        -16.92
     31        1          0.90          4.03        -32.42
     30        1          0.78          4.87        -45.77
     29        1          0.49          5.24        -57.79
     28        1          0.31          5.71        -65.95
     27        1         -0.03          5.58        -72.22
     26        1         -0.20          5.60        -73.70
     25        1         -0.50          5.02        -73.26
     24        1         -0.61          4.60        -68.05
     23        1         -0.80          3.67        -61.06
     22        1         -0.82          2.89        -50.06
     21        1         -0.86          1.76        -37.73
     20        1         -0.78          0.74        -22.89
     19        1         -0.67         -0.42         -7.43
     18        1         -0.52         -1.54          8.59
     17        1         -0.31         -2.54         24.41
     16        1         -0.13         -3.58         38.72
     15        1          0.13         -4.27         52.03
     14        1          0.28         -5.06         62.02
     13        1          0.52         -5.35         70.55
     12        1          0.58         -5.81         74.72
     11        1          0.74         -5.67         77.18
     10        1          0.71         -5.72         74.95
      9        1          0.76         -5.20         71.13
      8        1          0.63         -4.86         63.15
      7        1          0.58         -4.05         54.10
      6        1          0.40         -3.40         42.30
      5        1          0.29         -2.47         30.44
      4        1          0.28         -2.40         37.84
      3        1          0.19         -2.92         16.27
      2        1          0.09         -1.17          6.69
      1        1          0.03         -0.48          3.22

   振型  12 的地震力
   -------------------------------------------------------
   Floor     Tower       F-x-x         F-x-y         F-x-t
                         (kN)          (kN)         (kN-m)
     54        1         54.01         40.69         45.63
     53        1         51.38         35.77         49.64
     52        1         58.37         24.31        450.87
     51        1         30.63         30.78        511.69
     50        1        -19.39         10.30        640.55
     49        1        -36.95         -0.14        389.41
     48        1        -54.06        -12.27        173.60
     47        1        -63.77        -21.73        -31.42
     46        1        -69.57        -29.95       -217.87
     45        1        -67.44        -35.92       -382.42
     44        1        -61.14        -39.20       -513.19
     43        1        -48.39        -40.93       -612.07
     42        1        -32.12        -39.15       -667.77
