
     **********************************************************
                                 ¸÷²ã¸÷ËþµÄ¹æ¶¨Ë®Æ½Á¦
     **********************************************************

  ²ãºÅ   ËþºÅ        XÏò(KN)         YÏò(KN)
   46     1          1243.2          1233.8
   45     1           505.4           606.3
   44     1          1015.9          1200.4
   43     1           640.6           748.8
   42     1           541.1           613.4
   41     1           489.5           505.0
   40     1           475.4           430.9
   39     1           474.0           390.3
   38     1           465.9           376.1
   37     1           470.9           396.3
   36     1           454.4           403.2
   35     1           436.2           402.2
   34     1           513.3           479.9
   33     1           626.7           580.7
   32     1           581.6           524.3
   31     1           394.1           352.4
   30     1           361.3           323.8
   29     1           346.9           314.4
   28     1           329.9           303.7
   27     1           313.3           291.7
   26     1           300.1           279.7
   25     1           291.8           269.5
   24     1           287.0           262.1
   23     1           347.8           317.5
   22     1           417.1           387.9
   21     1           379.2           358.7
   20     1           262.3           245.7
   19     1           245.8           226.8
   18     1           237.4           218.8
   17     1           224.2           212.3
   16     1           208.5           207.9
   15     1           194.3           205.0
   14     1           184.8           201.8
   13     1           179.8           196.0
   12     1           217.5           230.6
   11     1           168.0           177.0
   10     1           147.5           162.3
    9     1           132.9           163.0
    8     1           125.8           175.9
    7     1           217.7           322.0
    6     1           242.5           346.0
    5     1           188.2           235.8
    4     1           587.9           587.9
    3     1             0.0             0.0
    2     1             0.0             0.0
    1     1             0.0             0.0

     **********************************************************
              ¹æ¶¨Ë®Æ½Á¦ÏÂ¿ò¼ÜÖù¡¢¶ÌÖ«Ç½µØÕðÇã¸²Á¦¾Ø
     **********************************************************

  ²ãºÅ   ËþºÅ         ¿ò¼ÜÖù     ¶ÌÖ«Ç½       ÆÕÍ¨Ç½       Ð±³Å       ºÏ¼Æ
   12     1        323.4      15532.7     1470331.6
   11     1        225.6      15758.3     1541243.9
   10     1        212.6      15970.9     1613112.9
    9     1        199.3      16170.2     1685878.6
    8     1        185.6      16355.7     1759479.4
    7     1        342.8      16698.5     1909765.6
    6     1        141.0      16839.5     1985543.4
    5     1        124.4      16963.9     2061880.9
    4     1        319.1      17283.0     2277918.5
    3     1          0.0      17283.0     2393714.8
    2     1          0.0      17283.0     2461118.5
    1     1          0.0      17283.0     2528522.3

   -WX
   46     1       -573.1       -573.1       -2120.6
   45     1       -696.0      -1269.1       -7894.9
   44     1       -632.5      -1901.5      -15881.3
   43     1       -623.3      -2524.8      -26485.6
   42     1       -614.2      -3139.0      -39669.4
   41     1       -605.1      -3744.1      -55394.7
   40     1       -596.0      -4340.1      -73623.3
   39     1       -587.0      -4927.2      -94317.3
   38     1       -578.0      -5505.2     -117439.0
   37     1       -569.0      -6074.2     -142950.5
   36     1       -560.0      -6634.2     -170814.2
   35     1       -551.0      -7185.3     -200992.3
   34     1       -774.4      -7959.6     -248750.1
   33     1      -1058.4      -9018.1     -324502.0
   32     1       -511.2      -9529.3     -364524.8
   31     1       -502.1     -10031.4     -406656.6
   30     1       -493.0     -10524.4     -450859.2
   29     1       -483.9     -11008.3     -497094.1
   28     1       -474.7     -11483.0     -545322.8
   27     1       -465.5     -11948.5     -595506.6
   26     1       -456.2     -12404.7     -647606.4
   25     1       -446.8     -12851.6     -701583.0
   24     1       -437.4     -13289.0     -757396.6
   23     1       -611.2     -13900.2     -840797.8
   22     1       -828.2     -14728.4     -964516.1
   21     1       -394.4     -15122.8    -1028031.8
   20     1       -384.4     -15507.1    -1093161.6
   19     1       -374.2     -15881.3    -1159863.0
   18     1       -363.8     -16245.1    -1228092.4
   17     1       -353.2     -16598.3    -1297805.3
   16     1       -342.5     -16940.8    -1368956.6
   15     1       -331.5     -17272.3    -1441500.1
   14     1       -320.2     -17592.5    -1515388.6
   13     1       -308.7     -17901.2    -1590573.6
   12     1       -424.0     -18325.2    -1700524.9
   11     1       -299.1     -18624.3    -1784334.4
   10     1       -284.3     -18908.7    -1869423.4
    9     1       -268.9     -19177.5    -1955722.3
    8     1       -252.6     -19430.2    -2043158.0
    7     1       -470.9     -19901.1    -2222267.8
    6     1       -197.2     -20098.3    -2312710.0
    5     1       -175.3     -20273.6    -2403941.3
    4     1       -445.4     -20719.0    -2662928.5
    3     1          0.0     -20719.0    -2801745.8
    2     1          0.0     -20719.0    -2882549.8
    1     1          0.0     -20719.0    -2963353.8

  -WXH
   46     1        508.8        508.8        1882.7
   45     1        617.3       1126.1        7006.4
   44     1        560.2       1686.3       14088.7
   43     1        551.3       2237.5       23486.2
   42     1        542.3       2779.8       35161.6
   41     1        533.4       3313.2       49077.1
   40     1        524.4       3837.6       65195.1
   39     1        515.4       4353.0       83477.9
   38     1        506.4       4859.4      103887.4
   37     1        497.3       5356.7      126385.6
   36     1        488.2       5845.0      150934.4
   35     1        479.1       6324.1      177495.6
   34     1        671.4       6995.5      219468.4
   33     1        913.7       7909.2      285905.4
   32     1        438.4       8347.5      320965.1
   31     1        429.1       8776.6      357826.9
   30     1        419.7       9196.4      396451.7
   29     1        410.4       9606.7      436799.9
   28     1        400.9      10007.7      478832.1
   27     1        391.5      10399.2      522508.6
   26     1        382.0      10781.1      567789.4
   25     1        372.3      11153.5      614634.0
   24     1        362.8      11516.3      663002.5
   23     1        504.5      12020.8      735127.4
   22     1        678.5      12699.3      841801.5
   21     1        319.6      13018.9      896480.7
   20     1        309.6      13328.5      952460.2
   19     1        299.6      13628.0     1009697.9
   18     1        289.4      13917.5     1068151.3
   17     1        279.2      14196.7     1127777.4
   16     1        268.9      14465.6     1188533.0
   15     1        258.5      14724.1     1250374.3
   14     1        247.9      14972.0     1313256.8
   13     1        237.2      15209.3     1377135.6
   12     1        323.4      15532.7     1470331.6
   11     1        225.6      15758.3     1541243.9
   10     1        212.6      15970.9     1613112.9
    9     1        199.3      16170.2     1685878.6
